order_id,region_id,city,courier_id,lng,lat,aoi_id,aoi_type,accept_time,accept_gps_time,accept_gps_lng,accept_gps_lat,delivery_time,delivery_gps_time,delivery_gps_lng,delivery_gps_lat,ds,distance,delivery_duration,traffic_level,weather_condition,predicted_risk,risk_probability
299175,31,Jilin,435,126.56368,43.86698,570,1,08-23 08:09:00,08-23 08:09:00,126.56608,43.87082,08-23 13:04:00,08-23 13:04:00,126.56333,43.8671,823,0.4687218694409125,295.0,5,0,Medium,0.97
2210910,31,Jilin,435,126.56354,43.86629,570,1,05-29 08:15:00,05-29 08:15:00,126.566,43.87078,05-29 09:44:00,05-29 09:44:00,126.5634,43.86632,529,0.5379474322762239,89.0,4,0,Medium,0.97
798252,31,Jilin,435,126.56342,43.86723,570,1,08-16 07:58:00,08-16 07:58:00,126.56605,43.87071,08-16 14:12:00,08-16 14:12:00,126.56231,43.86732,816,0.4816413769987522,374.0,1,1,Low,0.71
4132304,31,Jilin,435,126.56192,43.86768,570,1,09-20 08:15:00,09-20 08:15:00,126.56604,43.87107,09-20 11:49:00,09-20 11:49:00,126.56176,43.86772,920,0.5064325187252388,214.0,1,1,Low,0.71
1526139,31,Jilin,435,126.5632,43.86592,570,1,09-08 08:41:00,09-08 08:41:00,126.56606,43.871,09-08 12:12:00,09-08 12:12:00,126.56588,43.86271,908,0.9219188776993738,211.0,3,0,Low,0.83
3018843,31,Jilin,435,126.56355,43.86688,570,1,08-24 08:32:00,08-24 08:32:00,126.56607,43.87088,08-24 14:54:00,08-24 14:54:00,126.56374,43.86715,824,0.4548740424548818,382.0,3,2,High,0.86
175628,31,Jilin,435,126.56327,43.8671,570,1,05-29 14:19:00,05-29 14:19:00,126.56588,43.87114,05-29 15:16:00,05-29 15:16:00,126.56363,43.86758,529,0.4350084856356305,57.0,2,2,Medium,0.9
865714,31,Jilin,435,126.56247,43.8655,570,1,05-31 09:45:00,05-31 09:45:00,126.56601,43.87081,05-31 11:04:00,05-31 11:04:00,126.56305,43.86573,531,0.6126852337824336,79.0,4,1,Medium,0.92
3523131,31,Jilin,435,126.56189,43.86765,570,1,08-28 09:41:00,08-28 09:41:00,126.56616,43.87061,08-28 15:11:00,08-28 15:11:00,126.56195,43.86785,828,0.45616159762739217,330.0,4,2,High,0.93
1697887,31,Jilin,435,126.56344,43.86659,570,1,07-25 14:43:00,07-25 14:43:00,126.5661,43.87097,07-25 15:07:00,07-25 15:07:00,126.56628,43.87072,725,0.03132034760485025,24.0,3,0,Low,0.86
3397031,31,Jilin,435,126.56367,43.8654,570,1,09-02 15:40:00,09-02 15:40:00,126.56361,43.86558,09-02 15:41:00,09-02 15:41:00,126.56378,43.86564,902,0.015173947074778146,1.0,4,1,Medium,0.79
4289710,31,Jilin,435,126.5632,43.86743,570,1,07-25 07:53:00,07-25 07:53:00,126.56617,43.87073,07-25 10:04:00,07-25 10:04:00,126.56378,43.86768,725,0.38951973679746243,131.0,4,1,Medium,0.76
4010067,31,Jilin,435,126.56325,43.86587,570,1,07-09 08:08:00,07-09 08:08:00,126.56605,43.87077,07-09 10:19:00,07-09 10:19:00,126.56328,43.86586,709,0.5893967076522609,131.0,1,2,Medium,0.91
563644,31,Jilin,435,126.56199,43.86755,570,1,07-24 08:04:00,07-24 08:04:00,126.56598,43.87095,07-24 13:17:00,07-24 13:17:00,126.56164,43.8677,724,0.5016346284604261,313.0,3,1,Medium,0.71
2805781,31,Jilin,435,126.56321,43.86588,570,1,06-04 18:22:00,06-04 18:22:00,126.56606,43.87086,06-04 19:08:00,06-04 19:08:00,126.56358,43.86597,604,0.5789480874039591,46.0,5,2,High,0.99
2795226,31,Jilin,435,126.56285,43.86709,570,1,05-20 17:45:00,05-20 17:45:00,126.56613,43.87078,05-20 17:54:00,05-20 17:54:00,126.56609,43.87076,520,0.0039021750250654345,9.0,3,2,High,0.89
1680820,31,Jilin,435,126.56192,43.86768,570,1,07-20 07:52:00,07-20 07:52:00,126.56615,43.871,07-20 12:03:00,07-20 12:03:00,126.56176,43.86772,720,0.5068178291106362,251.0,5,0,Medium,0.97
4076400,31,Jilin,435,126.56191,43.86767,570,1,05-18 08:38:00,05-18 08:38:00,126.56617,43.87082,05-18 13:28:00,05-18 13:28:00,126.5617,43.86795,518,0.47983580460396635,290.0,1,2,Medium,0.91
3334309,31,Jilin,435,126.56286,43.86709,570,1,05-27 08:14:00,05-27 08:14:00,126.56605,43.87075,05-27 14:06:00,05-27 14:06:00,126.56157,43.86696,527,0.553695257004069,352.0,2,2,Medium,0.94
3766002,31,Jilin,435,126.56358,43.86725,570,1,07-14 08:32:00,07-14 08:32:00,126.56607,43.87075,07-14 09:54:00,07-14 09:54:00,126.5623,43.86749,714,0.47195016673118856,82.0,4,1,Medium,0.92
3371324,31,Jilin,435,126.56353,43.86615,570,1,08-26 08:47:00,08-26 08:47:00,126.56624,43.8707,08-26 12:34:00,08-26 12:34:00,126.56558,43.8627,826,0.8911315283521342,227.0,1,0,Low,0.95
1207527,31,Jilin,435,126.56209,43.86556,570,1,07-25 08:18:00,07-25 08:18:00,126.56614,43.87097,07-25 10:19:00,07-25 10:19:00,126.56227,43.86566,725,0.666986908534437,121.0,4,0,Medium,0.9
2754711,31,Jilin,435,126.56342,43.86718,570,1,09-30 08:16:00,09-30 08:16:00,126.56615,43.87072,09-30 11:53:00,09-30 11:53:00,126.56229,43.8674,930,0.48169638690768857,217.0,2,2,Medium,0.94
3661973,31,Jilin,435,126.56365,43.86535,570,1,07-06 07:55:00,07-06 07:55:00,126.56604,43.87087,07-06 12:07:00,07-06 12:07:00,126.56364,43.86561,706,0.6157162136905829,252.0,2,1,Medium,0.86
3500931,31,Jilin,435,126.5637,43.86719,570,1,07-02 08:06:00,07-02 08:06:00,126.56603,43.87073,07-02 10:13:00,07-02 10:13:00,126.56373,43.86524,702,0.6376967423372217,127.0,1,1,Low,0.71
649249,31,Jilin,435,126.56183,43.86757,570,1,06-19 15:03:00,06-19 15:03:00,126.55998,43.86688,06-19 16:01:00,06-19 16:01:00,126.56609,43.87055,619,0.6375249150462861,58.0,2,1,Medium,0.87
1564922,31,Jilin,435,126.56192,43.86756,570,1,09-19 07:48:00,09-19 07:48:00,126.56607,43.87066,09-19 12:45:00,09-19 12:45:00,126.56616,43.87106,919,0.045059277853264953,297.0,5,0,Medium,0.97
3783846,31,Jilin,435,126.56212,43.8662,570,1,09-02 07:40:00,09-02 07:40:00,126.56612,43.87079,09-02 11:18:00,09-02 11:18:00,126.56184,43.86636,902,0.6003057784545529,218.0,2,0,Low,0.91
3141083,31,Jilin,435,126.56219,43.86557,570,1,07-21 07:50:00,07-21 07:50:00,126.5661,43.87083,07-21 13:26:00,07-21 13:26:00,126.56267,43.86569,721,0.6342437826607024,336.0,4,2,High,0.93
1930254,31,Jilin,435,126.5619,43.86753,570,1,05-20 07:53:00,05-20 07:53:00,126.56611,43.87087,05-20 10:00:00,05-20 10:00:00,126.56161,43.86791,520,0.4883228329626612,127.0,4,2,High,0.93
3397305,31,Jilin,435,126.56355,43.86643,570,1,05-30 08:43:00,05-30 08:43:00,126.56603,43.87064,05-30 10:43:00,05-30 10:43:00,126.56344,43.86667,530,0.4878324537255068,120.0,4,1,Medium,0.76
1397062,31,Jilin,435,126.56319,43.86755,570,1,07-19 07:48:00,07-19 07:48:00,126.56606,43.87065,07-19 12:30:00,07-19 12:30:00,126.56372,43.86761,719,0.38659145225135283,282.0,4,2,High,0.93
1205092,31,Jilin,435,126.56192,43.86765,570,1,06-29 09:23:00,06-29 09:23:00,126.56603,43.87073,06-29 10:38:00,06-29 10:38:00,126.56366,43.86668,629,0.4887750789979725,75.0,5,1,High,0.88
3926653,31,Jilin,435,126.5628,43.86693,570,1,05-29 14:19:00,05-29 14:19:00,126.56604,43.87108,05-29 15:07:00,05-29 15:07:00,126.56252,43.8672,529,0.5155187796547115,48.0,3,0,Low,0.94
1994231,31,Jilin,435,126.56285,43.86699,570,1,07-03 07:45:00,07-03 07:45:00,126.56601,43.87077,07-03 09:09:00,07-03 09:09:00,126.56158,43.86716,703,0.5359532076400624,84.0,1,2,Medium,0.95
2741681,31,Jilin,435,126.56345,43.86721,570,1,06-07 07:53:00,06-07 07:53:00,126.5661,43.87074,06-07 09:47:00,06-07 09:47:00,126.56199,43.86745,607,0.49232462516988906,114.0,4,1,Medium,0.76
2535068,31,Jilin,435,126.56213,43.86611,570,1,09-02 07:44:00,09-02 07:44:00,126.56602,43.87085,09-02 11:40:00,09-02 11:40:00,126.56364,43.8656,902,0.6141600999789999,236.0,2,0,Low,0.91
2948851,31,Jilin,435,126.56196,43.8676,570,1,09-06 08:00:00,09-06 08:00:00,126.566,43.87073,09-06 16:25:00,09-06 16:25:00,126.56612,43.87064,906,0.013881008462694048,505.0,4,1,Medium,0.76
1029070,31,Jilin,435,126.56319,43.86745,570,1,07-10 07:51:00,07-10 07:51:00,126.56603,43.87089,07-10 11:07:00,07-10 11:07:00,126.56433,43.86695,710,0.45881399426752767,196.0,2,2,Medium,0.94
2836703,31,Jilin,435,126.56311,43.86753,570,1,07-08 08:15:00,07-08 08:15:00,126.56618,43.8707,07-08 11:28:00,07-08 11:28:00,126.56374,43.86595,708,0.5632312449336736,193.0,2,1,Medium,0.86
130411,31,Jilin,435,126.56197,43.86767,570,1,07-18 08:05:00,07-18 08:05:00,126.56614,43.87086,07-18 11:05:00,07-18 11:05:00,126.56176,43.86785,718,0.4850798435423345,180.0,4,0,Medium,0.9
3142177,31,Jilin,435,126.5618,43.86594,570,1,09-01 08:53:00,09-01 08:53:00,126.56618,43.87071,09-01 16:06:00,09-01 16:06:00,126.56196,43.86574,901,0.6479600524303093,433.0,5,2,High,0.96
2126578,31,Jilin,435,126.56265,43.86589,570,1,08-30 09:19:00,08-30 09:19:00,126.56603,43.87083,08-30 15:04:00,08-30 15:04:00,126.56261,43.8659,830,0.6129256873204606,345.0,2,0,Low,0.91
2011976,31,Jilin,435,126.56195,43.86753,570,1,09-21 09:00:00,09-21 09:00:00,126.56602,43.87105,09-21 12:56:00,09-21 12:56:00,126.56179,43.86779,921,0.4963708046674426,236.0,2,2,Medium,0.94
3980398,31,Jilin,435,126.56283,43.86709,570,1,05-29 08:15:00,05-29 08:15:00,126.566,43.87079,05-29 09:36:00,05-29 09:36:00,126.56267,43.86713,529,0.4867098873674219,81.0,4,1,Medium,0.92
2656132,31,Jilin,435,126.56324,43.86745,570,1,08-29 08:40:00,08-29 08:40:00,126.56619,43.87088,08-29 13:45:00,08-29 13:45:00,126.56324,43.86763,829,0.43188102615676166,305.0,2,0,Low,0.91
3680068,31,Jilin,435,126.56196,43.86769,570,1,08-28 09:41:00,08-28 09:41:00,126.56617,43.87076,08-28 17:11:00,08-28 17:11:00,126.53204,43.88193,828,3.0043956482795298,450.0,2,0,Low,0.91
2551443,31,Jilin,435,126.5619,43.86756,570,1,09-09 09:15:00,09-09 09:15:00,126.56629,43.87103,09-09 11:58:00,09-09 11:58:00,126.56158,43.86791,909,0.5127528470919457,163.0,4,1,Medium,0.76
4447172,31,Jilin,435,126.56213,43.8655,570,1,05-17 08:00:00,05-17 08:00:00,126.56601,43.87076,05-17 13:04:00,05-17 13:04:00,126.5593,43.8673,517,0.6613262206228437,304.0,4,0,Medium,0.9
4358233,31,Jilin,435,126.56223,43.86655,570,1,08-07 08:10:00,08-07 08:10:00,126.56613,43.87073,08-07 11:29:00,08-07 11:29:00,126.56282,43.86662,807,0.5284558718139425,199.0,1,0,Low,0.95
3482956,31,Jilin,435,126.56191,43.86769,570,1,08-01 08:11:00,08-01 08:11:00,126.56607,43.87096,08-01 08:57:00,08-01 08:57:00,126.5613,43.86797,801,0.506704722766344,46.0,5,0,Medium,0.96
1761826,31,Jilin,435,126.56285,43.86704,570,1,07-02 08:10:00,07-02 08:10:00,126.56593,43.8709,07-02 10:03:00,07-02 10:03:00,126.56224,43.86709,702,0.5167018832312488,113.0,5,0,Medium,0.98
4152509,31,Jilin,435,126.56369,43.86512,570,1,09-07 08:55:00,09-07 08:55:00,126.56611,43.87074,09-07 15:16:00,09-07 15:16:00,126.5639,43.86523,907,0.6377843025777935,381.0,2,1,Medium,0.86
2610260,31,Jilin,435,126.56218,43.86652,570,1,09-28 08:21:00,09-28 08:21:00,126.56616,43.87073,09-28 11:51:00,09-28 11:51:00,126.56225,43.86677,928,0.5404967995149647,210.0,5,0,Medium,0.97
623163,31,Jilin,435,126.56184,43.86596,570,1,08-19 08:02:00,08-19 08:02:00,126.5661,43.8708,08-19 13:17:00,08-19 13:17:00,126.56223,43.86606,819,0.6115898995094848,315.0,2,0,Low,0.91
692200,31,Jilin,1558,126.56255,43.86558,570,1,10-05 08:01:00,10-05 08:01:00,126.56616,43.87069,10-05 13:55:00,10-05 13:55:00,126.56618,43.87069,1005,0.0016032211985947942,354.0,1,0,Low,0.95
236676,31,Jilin,1558,126.5642,43.8656,570,1,10-10 09:14:00,10-10 09:14:00,126.56606,43.87065,10-10 14:36:00,10-10 14:36:00,126.56634,43.8707,1010,0.02312343836960311,322.0,4,2,High,0.93
2237855,31,Jilin,4609,126.56192,43.86757,570,1,06-17 12:34:00,06-17 12:34:00,126.56612,43.87063,06-17 13:06:00,06-17 13:06:00,126.56173,43.86785,617,0.46840254710240475,32.0,4,2,High,0.96
347620,31,Jilin,4609,126.56367,43.86539,570,1,06-18 12:18:00,06-18 12:18:00,126.56602,43.8712,06-18 13:03:00,06-18 13:03:00,126.56393,43.86555,618,0.6502079962892048,45.0,4,1,Medium,0.87
2305133,31,Jilin,4609,126.56203,43.86668,570,1,06-17 12:34:00,06-17 12:34:00,126.5661,43.87071,06-17 13:12:00,06-17 13:12:00,126.56245,43.86652,617,0.5501660789963184,38.0,5,1,High,0.93
3930116,31,Jilin,4609,126.56189,43.86751,570,1,06-17 08:25:00,06-17 08:25:00,126.56618,43.87104,06-17 09:05:00,06-17 09:05:00,126.56236,43.86842,617,0.4226634364976831,40.0,1,1,Low,0.83
1629224,31,Jilin,4609,126.56185,43.86753,570,1,06-18 12:24:00,06-18 12:24:00,126.56603,43.87105,06-18 12:49:00,06-18 12:49:00,126.56177,43.86764,618,0.5102856875688299,25.0,5,0,Medium,0.94
4341092,31,Jilin,949,126.58849,43.84201,819,14,09-10 08:04:00,09-10 08:04:00,126.56602,43.8711,09-10 10:00:00,09-10 10:00:00,126.58986,43.84527,910,3.4500632444560124,116.0,5,2,High,0.95
188410,31,Jilin,949,126.5871,43.8406,819,14,07-07 07:53:00,07-07 07:53:00,126.5661,43.87092,07-07 09:50:00,07-07 09:50:00,126.59042,43.83929,707,4.021512733195335,117.0,1,2,Medium,0.98
1179290,31,Jilin,949,126.58717,43.84076,819,14,08-28 08:53:00,08-28 08:53:00,126.5661,43.87108,08-28 10:38:00,08-28 10:38:00,126.58821,43.84214,828,3.6739829067497167,105.0,1,1,Low,0.73
3541419,31,Jilin,949,126.58712,43.84068,819,14,10-02 09:59:00,10-02 09:59:00,126.58786,43.84245,10-02 10:10:00,10-02 10:10:00,126.58696,43.84051,1002,0.2274737779647436,11.0,1,2,Medium,0.71
1014290,31,Jilin,949,126.58747,43.8407,819,14,09-30 08:10:00,09-30 08:10:00,126.56605,43.87106,09-30 11:44:00,09-30 11:44:00,126.58752,43.84069,930,3.7904582438422714,214.0,1,1,Low,0.74
999258,31,Jilin,949,126.58713,43.84063,819,14,08-29 08:34:00,08-29 08:34:00,126.56598,43.87087,08-29 11:56:00,08-29 11:56:00,126.58644,43.84143,829,3.6616310394349236,202.0,4,0,Medium,0.91
1553172,31,Jilin,949,126.58731,43.84069,819,14,05-30 14:52:00,05-30 14:52:00,126.56602,43.87124,05-30 16:27:00,05-30 16:27:00,126.58769,43.84103,530,3.7819534495795684,95.0,3,2,High,0.91
601532,31,Jilin,949,126.58852,43.84205,819,14,09-02 07:48:00,09-02 07:48:00,126.56618,43.87089,09-02 09:51:00,09-02 09:51:00,126.58761,43.84182,902,3.660748413601185,123.0,3,0,Low,0.83
2232485,31,Jilin,949,126.58728,43.84071,819,14,08-26 08:55:00,08-26 08:55:00,126.56619,43.87092,08-26 10:48:00,08-26 10:48:00,126.58874,43.84182,826,3.7066596493096124,113.0,1,0,Low,0.95
3277890,31,Jilin,949,126.58845,43.8415,819,14,09-11 08:47:00,09-11 08:47:00,126.56603,43.87091,09-11 12:21:00,09-11 12:21:00,126.58884,43.84133,911,3.763433487491592,214.0,3,2,High,0.89
28450,31,Jilin,949,126.5884,43.84098,819,14,09-22 07:57:00,09-22 07:57:00,126.56606,43.87103,09-22 09:54:00,09-22 09:54:00,126.58927,43.83943,922,3.976167120827947,117.0,3,1,Medium,0.76
2157859,31,Jilin,949,126.58713,43.84061,819,14,09-06 08:21:00,09-06 08:21:00,126.56603,43.87092,09-06 11:15:00,09-06 11:15:00,126.58847,43.83871,906,4.008145786687629,174.0,1,2,Medium,0.92
829416,31,Jilin,949,126.58861,43.84145,819,14,09-01 09:03:00,09-01 09:03:00,126.56613,43.87114,09-01 10:46:00,09-01 10:46:00,126.58775,43.84524,901,3.3613891803627935,103.0,3,0,Low,0.85
3844755,31,Jilin,949,126.58721,43.84072,819,14,08-18 07:39:00,08-18 07:39:00,126.566,43.87105,08-18 09:46:00,08-18 09:46:00,126.58761,43.84167,818,3.6979615263516274,127.0,5,1,High,0.81
4509296,31,Jilin,949,126.58735,43.84066,819,14,05-18 08:55:00,05-18 08:55:00,126.56615,43.87111,05-18 11:43:00,05-18 11:43:00,126.5872,43.84059,518,3.79021029243121,168.0,2,0,Low,0.92
245080,31,Jilin,949,126.58744,43.84062,819,14,06-19 13:50:00,06-19 13:50:00,126.56599,43.87077,06-19 15:12:00,06-19 15:12:00,126.58717,43.84061,619,3.759110023060171,82.0,2,1,Medium,0.91
2704756,31,Jilin,949,126.58839,43.84107,819,14,08-18 07:39:00,08-18 07:39:00,126.56608,43.87105,08-18 09:51:00,08-18 09:51:00,126.58825,43.84116,818,3.769125476338539,132.0,1,2,Medium,0.93
393583,31,Jilin,949,126.5874,43.84062,819,14,06-15 07:45:00,06-15 07:45:00,126.56606,43.87121,06-15 09:45:00,06-15 09:45:00,126.58709,43.84038,615,3.8203977961581757,120.0,4,0,Medium,0.91
2611512,31,Jilin,949,126.58718,43.84075,819,14,09-20 08:36:00,09-20 08:36:00,126.56614,43.87107,09-20 10:25:00,09-20 10:25:00,126.58743,43.84207,920,3.648609099893676,109.0,1,1,Low,0.73
1885731,31,Jilin,949,126.58945,43.84167,819,14,09-20 08:35:00,09-20 08:35:00,126.56609,43.87111,09-20 10:56:00,09-20 10:56:00,126.58987,43.84135,920,3.819165133407368,141.0,4,1,Medium,0.77
4134821,31,Jilin,949,126.58849,43.84104,819,14,08-01 10:13:00,08-01 10:13:00,126.5661,43.87094,08-01 12:45:00,08-01 12:45:00,126.58825,43.84111,801,3.7624875955604975,152.0,2,2,Medium,0.97
3971571,31,Jilin,949,126.58709,43.8406,819,14,09-26 07:35:00,09-26 07:35:00,126.56595,43.87106,09-26 10:42:00,09-26 10:42:00,126.58694,43.84052,926,3.7900636619344805,187.0,1,1,Low,0.74
4147571,31,Jilin,949,126.58822,43.84158,819,14,07-25 07:44:00,07-25 07:44:00,126.56627,43.87113,07-25 09:51:00,07-25 09:51:00,126.5911,43.84092,725,3.904850059091922,127.0,5,1,High,0.81
2793674,31,Jilin,949,126.58716,43.84066,819,14,09-22 09:41:00,09-22 09:41:00,126.58662,43.84158,09-22 09:45:00,09-22 09:45:00,126.5867,43.84146,922,0.014805790582871277,4.0,3,0,Low,0.94
157038,31,Jilin,1558,126.58841,43.84106,819,14,10-06 07:53:00,10-06 07:53:00,126.56619,43.87125,10-06 15:36:00,10-06 15:36:00,126.5663,43.87074,1006,0.05739084252983215,463.0,4,2,High,0.93
2361215,31,Jilin,1558,126.57838,43.88459,970,1,09-03 09:21:00,09-03 09:21:00,126.56612,43.87075,09-03 10:06:00,09-03 10:06:00,126.57839,43.88464,903,1.831029039969046,45.0,3,2,High,0.93
2916955,31,Jilin,1558,126.57785,43.88545,970,1,09-09 07:57:00,09-09 07:57:00,126.56607,43.87092,09-09 08:52:00,09-09 08:52:00,126.57742,43.88557,909,1.8658072386674656,55.0,3,0,Low,0.94
338918,31,Jilin,1558,126.57831,43.88469,970,1,09-07 09:03:00,09-07 09:03:00,126.56618,43.87081,09-07 09:55:00,09-07 09:55:00,126.57686,43.88451,907,1.7474060433380014,52.0,1,0,Low,1.0
2220507,31,Jilin,1558,126.57813,43.88537,970,1,09-10 08:02:00,09-10 08:02:00,126.566,43.87101,09-10 17:25:00,09-10 17:25:00,126.56639,43.87073,910,0.044121645866277336,563.0,3,0,Low,0.83
782674,31,Jilin,949,126.58887,43.83744,1101,10,08-23 07:41:00,08-23 07:41:00,126.56618,43.87084,08-23 09:50:00,08-23 09:50:00,126.58823,43.83885,823,3.9722842251116073,129.0,5,1,High,0.81
4042536,31,Jilin,949,126.58888,43.83732,1101,10,08-18 07:39:00,08-18 07:39:00,126.56603,43.87108,08-18 10:06:00,08-18 10:06:00,126.59,43.83761,818,4.188680355638663,147.0,3,2,High,0.89
2257259,31,Jilin,949,126.58886,43.83754,1101,10,06-07 08:21:00,06-07 08:21:00,126.56607,43.87124,06-07 10:34:00,06-07 10:34:00,126.589,43.83749,607,4.179014298230151,133.0,1,2,Medium,0.92
1982189,31,Jilin,949,126.58879,43.83752,1101,10,08-31 09:07:00,08-31 09:07:00,126.566,43.87075,08-31 12:14:00,08-31 12:14:00,126.5889,43.83742,831,4.136061573256036,187.0,5,2,High,0.96
3398118,31,Jilin,949,126.58877,43.83751,1101,10,06-15 07:45:00,06-15 07:45:00,126.56618,43.87128,06-15 09:56:00,06-15 09:56:00,126.58999,43.83787,615,4.176870675304516,131.0,2,1,Medium,0.89
1942128,31,Jilin,4849,126.5735,43.83814,1118,0,09-27 08:13:00,09-27 08:13:00,126.56635,43.87104,09-27 11:29:00,09-27 11:29:00,126.57375,43.83775,927,3.7489328017150108,196.0,3,2,High,0.89
4506548,31,Jilin,4849,126.57344,43.83811,1118,0,10-01 07:36:00,10-01 07:36:00,126.56624,43.87077,10-01 11:22:00,10-01 11:22:00,126.57318,43.83808,1001,3.67730991063076,226.0,1,2,Medium,0.93
4292027,31,Jilin,4849,126.57369,43.83854,1118,0,05-25 14:02:00,05-25 14:02:00,126.56621,43.87118,05-25 17:00:00,05-25 17:00:00,126.57406,43.83861,525,3.6759088494527017,178.0,2,2,Medium,0.97
4331080,31,Jilin,4849,126.57356,43.83804,1118,0,09-28 08:31:00,09-28 08:31:00,126.56637,43.87107,09-28 12:07:00,09-28 12:07:00,126.57375,43.83784,928,3.7420913274240566,216.0,2,2,Medium,0.97
