distance,traffic_level,delivery_time,weather_condition,risk_level
17.73,2,105,1,Medium
30.28,1,123,2,Medium
30.43,3,134,1,Medium
5.02,4,30,1,Medium
36.2,1,162,1,Medium
20.7,2,49,0,Low
33.23,3,37,2,High
13.48,2,200,2,Medium
35.93,2,233,2,High
16.18,3,30,2,High
1.42,2,86,1,Medium
36.31,3,93,0,Medium
4.56,1,147,2,High
13.45,3,57,0,Low
38.05,3,150,2,High
38.07,4,136,0,Medium
23.36,3,194,0,Medium
25.64,3,204,2,High
18.49,1,233,1,Low
12.44,4,194,0,Medium
13.82,5,78,1,High
27.23,1,149,2,Medium
30.34,1,73,0,Low
31.87,5,85,2,High
31.8,3,185,2,High
4.56,2,140,2,Medium
20.28,4,236,2,High
3.24,2,163,0,Low
22.43,5,137,0,High
18.22,1,218,2,Medium
35.62,1,177,0,Low
14.69,4,143,1,High
5.57,1,107,2,High
6.58,1,159,1,Low
30.7,4,230,0,Medium
25.11,4,66,2,High
4.94,5,49,2,High
4.28,1,55,0,Low
28.34,1,58,0,Low
3.84,5,30,2,High
33.05,3,148,2,High
28.54,3,64,1,Medium
4.17,3,227,2,High
4.31,5,88,2,High
39.48,1,98,2,High
15.6,5,190,1,High
15.46,5,208,2,High
32.7,3,235,2,High
37.94,2,41,0,Low
39.45,1,49,2,High
30.38,3,210,1,High
15.67,2,72,1,Medium
4.26,2,155,1,Medium
31.31,4,79,0,Medium
22.78,1,58,2,High
17.54,2,214,2,High
36.35,3,68,0,Medium
5.34,4,213,2,High
20.21,1,200,0,Low
1.44,5,207,0,Medium
19.28,3,180,0,Low
3.2,2,201,1,Medium
5.63,2,67,2,Medium
5.58,3,113,0,Low
26.32,2,180,2,High
30.1,4,157,1,High
23.75,1,155,0,Low
38.52,4,74,2,High
15.62,2,81,1,Medium
12.14,5,109,2,High
34.88,1,207,2,High
9.72,1,153,2,Medium
38.57,3,148,1,High
1.47,3,37,2,High
38.83,5,114,2,High
2.68,1,158,0,Low
35.75,5,37,0,Medium
21.58,3,186,0,Medium
39.73,3,125,1,Medium
3.88,1,131,2,Medium
22.6,4,34,2,High
38.8,2,115,2,High
21.4,3,204,2,High
25.55,3,63,2,High
28.13,4,222,0,Medium
18.73,4,84,2,High
25.47,5,148,2,High
23.79,5,200,2,High
36.15,2,231,0,Low
2.77,2,187,0,Low
11.96,1,143,2,Medium
38.07,5,239,0,Medium
35.72,3,174,0,Medium
18.77,5,55,0,Medium
25.19,3,165,1,High
11.82,4,76,2,High
8.34,5,142,2,High
19.08,4,105,2,High
14.78,2,101,1,Medium
23.76,2,118,2,High
4.03,1,75,2,Medium
39.0,5,225,0,Medium
39.46,4,62,2,High
